Year,2P,0 to 3,3 to 10,10 to 16,16 to 3P,3P
1997,0.47,0.628,0.376,0.354,0.426,0.346
1998,0.457,0.62,0.365,0.351,0.413,0.339
1999,0.468,0.633,0.379,0.365,0.428,0.353
2000,0.461,0.619,0.359,0.385,0.4,0.354
2001,0.465,0.605,0.382,0.388,0.397,0.354
2002,0.463,0.603,0.384,0.388,0.389,0.349
2003,0.46,0.592,0.382,0.377,0.388,0.347
2004,0.47,0.596,0.391,0.383,0.4,0.356
2005,0.478,0.601,0.4,0.391,0.405,0.358
2006,0.485,0.61,0.411,0.392,0.404,0.358
2007,0.484,0.607,0.408,0.391,0.409,0.362
2008,0.485,0.602,0.412,0.395,0.407,0.367
2009,0.492,0.613,0.421,0.4,0.402,0.355
2010,0.487,0.65,0.392,0.398,0.403,0.358
2011,0.477,0.634,0.378,0.388,0.388,0.349
2012,0.483,0.631,0.381,0.395,0.393,0.359
2013,0.488,0.636,0.39,0.401,0.395,0.36
2014,0.485,0.627,0.384,0.403,0.394,0.35
2015,0.491,0.624,0.396,0.405,0.398,0.354
2016,0.503,0.631,0.414,0.412,0.403,0.358
2017,0.51,0.658,0.394,0.415,0.4,0.362
2018,0.52,0.658,0.4,0.413,0.401,0.355
2019,0.524,0.667,0.396,0.416,0.404,0.358
2020,0.53,0.675,0.428,0.435,0.409,0.367
