Player,Season,3PA,Position,GP,Era,Total GP
Julius Erving,,0,Wing,0,1980,0
Julius Erving,1971,16,Wing,84,1980,84
Julius Erving,1972,24,Wing,71,1980,155
Julius Erving,1973,43,Wing,84,1980,239
Julius Erving,1974,87,Wing,84,1980,323
Julius Erving,1975,103,Wing,84,1980,407
Julius Erving,1976,0,Wing,82,1980,489
Julius Erving,1977,0,Wing,74,1980,563
Julius Erving,1978,0,Wing,78,1980,641
Julius Erving,1979,20,Wing,78,1980,719
Julius Erving,1980,18,Wing,82,1980,801
Julius Erving,1981,11,Wing,81,1980,882
Julius Erving,1982,7,Wing,72,1980,954
Julius Erving,1983,21,Wing,77,1980,1031
Julius Erving,1984,14,Wing,78,1980,1109
Julius Erving,1985,32,Wing,74,1980,1183
Julius Erving,1986,53,Wing,60,1980,1243
George Gervin,,0,Wing,0,1980,0
George Gervin,1972,26,Wing,30,1980,30
George Gervin,1973,56,Wing,74,1980,104
George Gervin,1973,50,Wing,49,1980,153
George Gervin,1973,6,Wing,25,1980,178
George Gervin,1974,55,Wing,84,1980,262
George Gervin,1975,55,Wing,81,1980,343
George Gervin,1976,0,Wing,82,1980,425
George Gervin,1977,0,Wing,82,1980,507
George Gervin,1978,0,Wing,80,1980,587
George Gervin,1979,102,Wing,78,1980,665
George Gervin,1980,35,Wing,82,1980,747
George Gervin,1981,36,Wing,79,1980,826
George Gervin,1982,33,Wing,78,1980,904
George Gervin,1983,24,Wing,76,1980,980
George Gervin,1984,10,Wing,72,1980,1052
George Gervin,1985,19,Wing,82,1980,1134
Larry Bird,,0,Wing,0,1980,0
Larry Bird,1979,143,Wing,82,1980,82
Larry Bird,1980,74,Wing,82,1980,164
Larry Bird,1981,52,Wing,77,1980,241
Larry Bird,1982,77,Wing,79,1980,320
Larry Bird,1983,73,Wing,79,1980,399
Larry Bird,1984,131,Wing,80,1980,479
Larry Bird,1985,194,Wing,82,1980,561
Larry Bird,1986,225,Wing,74,1980,635
Larry Bird,1987,237,Wing,76,1980,711
Larry Bird,1988,0,Wing,6,1980,717
Larry Bird,1989,195,Wing,75,1980,792
Larry Bird,1990,198,Wing,60,1980,852
Larry Bird,1991,128,Wing,45,1980,897
Magic Johnson,,0,Guard,0,1980,0
Magic Johnson,1979,31,Guard,67,1980,67
Magic Johnson,1980,17,Guard,77,1980,144
Magic Johnson,1981,29,Guard,79,1980,223
Magic Johnson,1982,21,Guard,78,1980,301
Magic Johnson,1983,29,Guard,37,1980,338
Magic Johnson,1984,37,Guard,77,1980,415
Magic Johnson,1985,43,Guard,72,1980,487
Magic Johnson,1986,39,Guard,80,1980,567
Magic Johnson,1987,56,Guard,77,1980,644
Magic Johnson,1988,188,Guard,72,1980,716
Magic Johnson,1989,276,Guard,79,1980,795
Magic Johnson,1990,250,Guard,79,1980,874
Magic Johnson,1995,58,Guard,32,1980,906
Kevin McHale,,0,Big,0,1980,0
Kevin McHale,1980,2,Big,82,1980,82
Kevin McHale,1981,0,Big,82,1980,164
Kevin McHale,1982,1,Big,82,1980,246
Kevin McHale,1983,3,Big,82,1980,328
Kevin McHale,1984,6,Big,79,1980,407
Kevin McHale,1985,0,Big,68,1980,475
Kevin McHale,1986,4,Big,77,1980,552
Kevin McHale,1987,0,Big,64,1980,616
Kevin McHale,1988,4,Big,78,1980,694
Kevin McHale,1989,69,Big,82,1980,776
Kevin McHale,1990,37,Big,68,1980,844
Kevin McHale,1991,13,Big,56,1980,900
Kevin McHale,1992,18,Big,71,1980,971
Isiah Thomas,,0,Guard,0,1980,0
Isiah Thomas,1981,59,Guard,72,1980,72
Isiah Thomas,1982,125,Guard,81,1980,153
Isiah Thomas,1983,65,Guard,82,1980,235
Isiah Thomas,1984,113,Guard,81,1980,316
Isiah Thomas,1985,84,Guard,77,1980,393
Isiah Thomas,1986,98,Guard,81,1980,474
Isiah Thomas,1987,97,Guard,81,1980,555
Isiah Thomas,1988,121,Guard,80,1980,635
Isiah Thomas,1989,136,Guard,81,1980,716
Isiah Thomas,1990,65,Guard,48,1980,764
Isiah Thomas,1991,86,Guard,78,1980,842
Isiah Thomas,1992,198,Guard,79,1980,921
Isiah Thomas,1993,126,Guard,58,1980,979
Dominique Wilkins,,0,Wing,0,1980,0
Dominique Wilkins,1982,11,Wing,82,1980,82
Dominique Wilkins,1983,11,Wing,81,1980,163
Dominique Wilkins,1984,81,Wing,81,1980,244
Dominique Wilkins,1985,70,Wing,78,1980,322
Dominique Wilkins,1986,106,Wing,79,1980,401
Dominique Wilkins,1987,129,Wing,78,1980,479
Dominique Wilkins,1988,105,Wing,80,1980,559
Dominique Wilkins,1989,183,Wing,80,1980,639
Dominique Wilkins,1990,249,Wing,81,1980,720
Dominique Wilkins,1991,128,Wing,42,1980,762
Dominique Wilkins,1992,316,Wing,71,1980,833
Dominique Wilkins,1993,295,Wing,74,1980,907
Dominique Wilkins,1994,289,Wing,49,1980,956
Dominique Wilkins,1995,0,Wing,25,1980,981
Dominique Wilkins,1996,239,Wing,77,1980,1058
Dominique Wilkins,1997,0,Wing,0,1980,1058
Dominique Wilkins,1998,19,Wing,27,1980,1085
James Worthy,,0,Wing,0,1980,0
James Worthy,1982,4,Wing,77,1980,77
James Worthy,1983,6,Wing,82,1980,159
James Worthy,1984,7,Wing,80,1980,239
James Worthy,1985,13,Wing,75,1980,314
James Worthy,1986,13,Wing,82,1980,396
James Worthy,1987,16,Wing,75,1980,471
James Worthy,1988,23,Wing,81,1980,552
James Worthy,1989,49,Wing,80,1980,632
James Worthy,1990,90,Wing,78,1980,710
James Worthy,1991,43,Wing,54,1980,764
James Worthy,1992,111,Wing,82,1980,846
James Worthy,1993,111,Wing,80,1980,926
Clyde Drexler,,0,Guard,0,1990,0
Clyde Drexler,1983,4,Guard,82,1990,82
Clyde Drexler,1984,37,Guard,80,1990,162
Clyde Drexler,1985,60,Guard,75,1990,237
Clyde Drexler,1986,47,Guard,82,1990,319
Clyde Drexler,1987,52,Guard,81,1990,400
Clyde Drexler,1988,104,Guard,78,1990,478
Clyde Drexler,1989,106,Guard,73,1990,551
Clyde Drexler,1990,191,Guard,82,1990,633
Clyde Drexler,1991,338,Guard,76,1990,709
Clyde Drexler,1992,133,Guard,49,1990,758
Clyde Drexler,1993,219,Guard,68,1990,826
Clyde Drexler,1994,408,Guard,76,1990,902
