,,,Tota,Tota,Tota,Tota,Tota,Tota,Tota,Tota,Tota,Tota,Shoo,Shoo,Shoo,Adva,Adva,Adva,Adva,Adva
Rk,Season,Lg,G,MP,FG,FGA,3P,3PA,FT,FTA,AST,PF,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA
1,2021-22,NBA,212,102410,16890,37662,5214,15119,6428,8343,9931,8004,0.448,0.345,0.77,98.9,0.518,13.1,22.6,0.171
2,2020-21,NBA,1080,521500,89020,190983,27427,74822,36650,47135,53577,41669,0.466,0.367,0.778,99.2,0.538,12.4,22.2,0.192
3,2019-20,NBA,1059,512070,86550,188116,25862,72252,37826,48943,51649,44004,0.46,0.358,0.773,100.3,0.529,12.8,22.5,0.201
4,2018-19,NBA,1230,594450,101062,219458,27955,78742,43494,56758,60483,51425,0.461,0.355,0.766,100,0.524,12.4,22.9,0.198
5,2017-18,NBA,1230,593850,97435,211709,25807,71340,40903,53325,57163,48837,0.46,0.362,0.767,97.3,0.521,13,22.3,0.193
6,2016-17,NBA,1230,594400,96061,210115,23748,66422,43883,56855,55660,48950,0.457,0.358,0.772,96.4,0.514,12.7,23.3,0.209
7,2015-16,NBA,1230,594850,94065,208049,20953,59241,43489,57469,54832,49854,0.452,0.354,0.757,95.8,0.502,13.2,23.8,0.209
8,2014-15,NBA,1230,595200,92287,205570,19300,55137,42161,56198,54202,49728,0.449,0.35,0.75,93.9,0.496,13.3,25.1,0.205
9,2013-14,NBA,1230,595200,92779,204172,19054,52974,43870,58029,54131,50923,0.454,0.36,0.756,93.9,0.501,13.6,25.5,0.215
10,2012-13,NBA,1229,594470,91282,201609,17603,49067,41056,54533,54415,48775,0.453,0.359,0.753,92,0.496,13.7,26.5,0.204
11,2011-12,NBA,990,479050,72218,161225,12693,36395,33465,44472,41533,38744,0.448,0.349,0.752,91.3,0.487,13.8,27,0.208
12,2010-11,NBA,1230,595050,91624,199790,15886,44313,45760,59937,52887,50953,0.459,0.358,0.763,92.1,0.498,13.4,26.4,0.229
13,2009-10,NBA,1230,594500,92730,200989,15822,44622,45818,60377,52258,51309,0.461,0.355,0.759,92.7,0.501,13.3,26.3,0.228
14,2008-09,NBA,1230,594650,91310,199054,16352,44583,46907,60859,51605,51765,0.459,0.367,0.771,91.7,0.5,13.3,26.7,0.236
15,2007-08,NBA,1230,594100,91669,200501,16124,44544,46349,61363,53506,51709,0.457,0.362,0.755,92.4,0.497,13.2,26.7,0.231
16,2006-07,NBA,1230,595750,89860,196073,14926,41672,48253,64149,52365,54666,0.458,0.358,0.752,91.9,0.496,14.2,27.1,0.246
17,2005-06,NBA,1230,595550,88166,194315,14086,39313,48223,64700,50711,55986,0.454,0.358,0.745,90.5,0.49,13.7,27.3,0.248
18,2004-05,NBA,1230,595000,88435,197626,13777,38748,48462,64095,52342,55671,0.447,0.356,0.756,90.9,0.482,13.6,28.7,0.245
19,2003-04,NBA,1189,574770,83254,189802,12321,35492,43268,57564,50658,51006,0.439,0.347,0.752,90.1,0.471,14.2,28.6,0.228
20,2002-03,NBA,1189,575420,84937,192109,12200,34912,44028,58103,51133,51730,0.442,0.349,0.758,91,0.474,14,28.5,0.229
21,2001-02,NBA,1189,574670,86011,193263,12402,35074,42619,56650,52131,50497,0.445,0.354,0.752,90.7,0.477,13.6,28.9,0.221
22,2000-01,NBA,1189,575520,84865,191664,11524,32597,44205,59137,51786,53143,0.443,0.354,0.748,91.3,0.473,14.1,28.2,0.231
23,1999-00,NBA,1189,574270,87591,195220,11513,32614,45094,60111,53130,55408,0.449,0.353,0.75,93.1,0.478,14.2,28.9,0.231
24,1998-99,NBA,725,350650,49549,113379,6463,19080,27231,37399,30050,32206,0.437,0.339,0.728,88.9,0.466,14.6,30.2,0.24
25,1997-98,NBA,1189,575120,85383,189537,10450,30231,46053,62494,52386,53278,0.45,0.346,0.737,90.3,0.478,14.5,31.4,0.243
